2012-11-12,Iowa State,Big 12,H,Alabama A&M,W,98,40,40,65,11,20,7,13,12,44,22,11,5,14,17,14,52,2,17,10,19,8,19,4,7,5,17,16
2012-11-18,Iowa State,Big 12,H,Campbell,W,88,68,32,68,11,30,13,16,12,36,22,11,5,11,9,27,63,4,16,10,12,11,34,11,6,3,16,15
2012-11-20,Iowa State,Big 12,H,North Carolina A&T,W,86,57,29,63,11,33,17,23,15,52,15,6,6,17,17,19,64,6,25,13,18,8,28,12,5,2,12,20
2012-11-23,Iowa State,Big 12,N,Cincinnati,L,70,78,25,67,8,27,12,21,13,36,12,6,2,17,20,25,60,5,20,23,25,8,34,11,11,5,13,18
2012-11-24,Iowa State,Big 12,N,UNLV,L,70,82,27,81,8,28,8,9,22,42,10,4,6,15,25,25,58,4,10,28,35,11,39,14,10,7,16,13
2012-12-01,Iowa State,Big 12,H,BYU,W,83,62,28,58,7,22,20,25,9,36,16,12,3,15,13,24,65,4,20,10,17,11,30,15,10,2,17,17
2012-12-04,Iowa State,Big 12,H,Florida Gulf Coast,W,83,72,34,69,13,25,2,5,11,33,21,10,3,19,12,27,58,9,24,9,10,8,30,14,12,4,22,8
2012-12-07,Iowa State,Big 12,A,Iowa,L,71,80,25,59,9,28,12,17,12,31,14,5,4,18,17,30,65,5,20,15,18,11,32,21,10,2,12,14
2012-12-09,Iowa State,Big 12,H,Omaha,W,93,65,36,72,11,33,10,14,13,43,23,7,1,6,14,24,53,11,23,6,11,1,24,19,0,1,13,13
2012-12-15,Iowa State,Big 12,N,Drake,W,86,77,26,59,4,19,30,41,15,44,15,10,5,17,21,27,62,6,20,17,21,5,28,15,7,0,14,31
2012-12-19,Iowa State,Big 12,A,UMKC,W,76,61,31,55,11,23,3,5,9,31,24,8,1,13,14,22,48,10,19,7,10,5,20,9,6,2,12,9
2013-01-01,Iowa State,Big 12,H,Yale,W,80,70,24,61,7,21,25,36,16,37,13,8,4,9,18,24,56,6,17,16,23,10,33,14,5,2,13,26
2013-01-09,Iowa State,Big 12,A,Kansas,L,89,97,30,73,14,38,15,20,11,35,17,7,1,11,29,31,62,8,19,27,38,12,43,16,7,5,14,17
2013-01-12,Iowa State,Big 12,H,Texas,W,82,62,25,57,11,26,21,27,11,34,18,4,3,5,10,24,61,4,18,10,13,13,35,16,3,3,10,17
2013-01-16,Iowa State,Big 12,H,West Virginia,W,69,67,23,55,8,24,15,19,9,33,18,4,4,12,15,25,61,9,24,8,13,15,38,13,4,4,15,21
2013-01-19,Iowa State,Big 12,A,TCU,W,63,50,28,56,5,18,2,3,11,33,16,4,1,16,17,20,55,1,10,9,22,15,29,7,7,1,10,10
2013-01-23,Iowa State,Big 12,A,Texas Tech,L,51,56,18,51,6,23,9,15,3,28,8,7,0,11,16,20,51,3,13,13,19,4,34,8,8,3,15,17
2013-01-26,Iowa State,Big 12,H,Kansas State,W,73,67,26,54,11,22,10,22,10,34,15,3,1,10,15,28,55,7,19,4,9,5,26,18,4,2,11,23
